30
7.5
16
1	14	16
2	12	14
3	10	12
4	12	14
5	8	10
6	8	10
7	8	10
8	12	14
9	12	14
10	14	16
11	8	10
12	10	12
13	12	14
14	12	14
15	14	16
16	14	16
17	14	16
18	12	14
19	8	10
20	8	10
21	10	12
22	14	16
23	10	12
24	8	10
25	14	16
26	8	10
27	10	12
28	12	14
29	10	12
30	10	12
-1
0	0.918312013	1.285810113	1.136974454	0.323069453	1.1438694	1.263605595	1.576639771	0.657870948	0.606290877	1.805097699	0.570957243	0.532199264	1.44061482	0.482189268	1.141256332	0.202479914	1.074586749	0.867507994	0.789499104	1.007996559	0.155758336	1.699342132	1.118191957	0.49659273	1.237004638	1.269274235	1.780505657	1.195671082	1.229694247	1.716006875
0.918312013	0	1.134739399	0.714775324	1.11579144	0.347608626	0.541109204	0.790901721	0.367314547	1.148497343	0.886987031	0.355307966	1.074522138	0.65765059	0.436707824	0.462341517	0.978934288	0.309379011	0.923231602	0.376428276	1.150707603	1.024005413	0.788193822	0.72787261	1.306977749	1.271283269	0.879311681	0.867537737	0.815253377	0.685585856	0.802251637
1.285810113	1.134739399	0	0.451512486	1.163262725	1.467180729	0.807250381	1.857064724	0.88913697	1.852413774	1.610604525	1.166907549	1.769701958	0.926095605	1.102362275	0.770146728	1.144123197	1.441079736	0.421882898	0.786269844	0.392498642	1.440054059	1.41194582	1.839512825	1.774703622	0.253542453	0.341802597	1.667814493	0.362771958	1.819196939	1.612997055
1.136974454	0.714775324	0.451512486	0	1.1332798	1.030676126	0.36851269	1.407101035	0.563253701	1.62055397	1.181041479	0.835311711	1.537090063	0.518332362	0.805615604	0.318698436	1.059091687	1.011530638	0.482954323	0.425804913	0.644299209	1.289814472	0.989074171	1.439175367	1.629838586	0.654058158	0.168110251	1.22961688	0.100564621	1.398178339	1.172278404
0.323069453	1.11579144	1.163262725	1.1332798	0	1.39086628	1.345911264	1.839169145	0.785788715	0.888994694	1.990462065	0.804459333	0.824699461	1.530485749	0.695523202	1.224714756	0.146180406	1.32457602	0.747653186	0.884227276	0.821712494	0.405166566	1.860046029	1.426777482	0.667921007	1.056372404	1.232928395	1.980964661	1.16716671	1.52559495	1.915354848
1.1438694	0.347608626	1.467180729	1.030676126	1.39086628	0	0.774799705	0.456209272	0.702603638	1.205401659	0.748095989	0.586505592	1.146307349	0.823827446	0.696242273	0.737305284	1.246889114	0.070313059	1.270788789	0.72400403	1.498310566	1.216583729	0.732054114	0.501353681	1.444237709	1.615389466	1.187399626	0.688295722	1.13052702	0.39234072	0.631307423
1.263605595	0.541109204	0.807250381	0.36851269	1.345911264	0.774799705	0	1.087268829	0.607761502	1.637269139	0.812567949	0.806997597	1.557502985	0.185048744	0.828673661	0.122832641	1.241628528	0.777220905	0.816658735	0.475004882	1.002997518	1.402527332	0.622242093	1.245462179	1.72642231	1.021929741	0.473544389	0.86242789	0.445073724	1.165219307	0.80632478
1.576639771	0.790901721	1.857064724	1.407101035	1.839169145	0.456209272	1.087268829	0	1.154761791	1.531409144	0.632848859	1.036013365	1.48767066	1.064262271	1.148049116	1.091432452	1.69397676	0.517585576	1.706788898	1.160883427	1.932298183	1.632182956	0.742543042	0.640859187	1.81966126	2.029596567	1.547622085	0.527064264	1.502304792	0.459388494	0.508310258
0.657870948	0.367314547	0.88913697	0.563253701	0.785788715	0.702603638	0.607761502	1.154761791	0	1.065104485	1.208182812	0.280176044	0.982350886	0.782869637	0.243637189	0.486502528	0.661880195	0.651259542	0.592099249	0.144766286	0.818246186	0.794784963	1.074299574	0.968700945	1.120523572	0.972805202	0.725394607	1.206019282	0.649810672	0.980780184	1.140344858
0.606290877	1.148497343	1.852413774	1.62055397	0.888994694	1.205401659	1.637269139	1.531409144	1.065104485	0	1.951042891	0.830317736	0.083702594	1.788094997	0.822565973	1.525817394	0.802068233	1.139693618	1.446998715	1.209556937	1.607022047	0.48444739	1.904912233	0.918428004	0.366006136	1.831346631	1.7741611	1.893529534	1.697909713	1.087947369	1.836609244
1.805097699	0.886987031	1.610604525	1.181041479	1.990462065	0.748095989	0.812567949	0.632848859	1.208182812	1.951042891	0	1.237411976	1.889067888	0.688059628	1.323686361	0.887148798	1.858862758	0.811799705	1.609433413	1.137822747	1.809313536	1.905794144	0.203906432	1.181791425	2.16814518	1.833548307	1.269559741	0.111243598	1.253050804	1.014365315	0.129426837
0.570957243	0.355307966	1.166907549	0.835311711	0.804459333	0.586505592	0.806997597	1.036013365	0.280176044	0.830317736	1.237411976	0	0.750967741	0.960141361	0.114269525	0.69696039	0.660398901	0.520168483	0.842070639	0.409516931	1.060497522	0.669334173	1.143464684	0.723791957	0.954979718	1.234961867	1.000442505	1.209879756	0.925664246	0.769696116	1.145581245
0.532199264	1.074522138	1.769701958	1.537090063	0.824699461	1.146307349	1.557502985	1.48767066	0.982350886	0.083702594	1.889067888	0.750967741	0	1.710096717	0.740196049	1.445258379	0.730836987	1.079400539	1.365471125	1.12690568	1.528027892	0.41972205	1.837406874	0.887950361	0.362124562	1.751247764	1.690507174	1.834491611	1.614260435	1.051889896	1.776548386
